Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_u.FL,U.FL_Hirose_U.FL-R-SMT-1_Vertical,116.85,-162.23,180.0,top
BT1,Coin_Cell,CR2032_Holder,170.7,-124.2,90.0,top
BT2,Battery,BatteryHolder_Keystone_2462_2xAA,199.355,-105.2,90.0,top
C1,100nF,C_0402_1005Metric,152.25,-117.85,90.0,top
C2,100nF,C_0402_1005Metric,144.98,-116.14,0.0,top
C3,100nF,C_0402_1005Metric,152.5,-143.25,0.0,top
C4,100nF,C_0402_1005Metric,103.85,-111.82,90.0,top
C5,10µF,C_0603_1608Metric,104.85,-113.65,180.0,top
C6,10µF,C_0603_1608Metric,124.1,-158.45,0.0,top
D1,LED green,LED_0805_2012Metric,173.5875,-109.2,0.0,bottom
D2,LED red,LED_0805_2012Metric,111.75,-128.2,90.0,bottom
IC1,LM66200DRLR,LM66200DRLR,179.14,-105.3,0.0,top
J1,JST-PH2 Bat,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,224.9,-113.95,270.0,bottom
J2,Conn_Pico_Left,PinSocket_1x20_P2.54mm_Vertical,139.65,-125.78,90.0,top
J3,Conn_Pico_Right,PinSocket_1x20_P2.54mm_Vertical,157.43,-125.78,90.0,top
J4,SM06B-GHS-TB_LF_SN,JST_SM06B-GHS-TB_LF_SN,123.65,-103.375,180.0,bottom
J6,Conn_Display,JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical,170.5,-162.05,180.0,bottom
J9,Conn_I2C0,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,148.54,-102.95,180.0,bottom
J11,Conn_I2C1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,133.65,-103.55,180.0,bottom
Q1,AO3401A,SOT-23,161.45,-111.0,180.0,top
Q2,AO3401A,SOT-23,161.45,-103.25,180.0,top
R1,100K,R_0402_1005Metric,145.0,-118.5,90.0,top
R2,10K,R_0402_1005Metric,153.4,-118.9,-90.0,top
R3,10K,R_0402_1005Metric,143.09,-110.935,0.0,top
R4,10K,R_0402_1005Metric,143.09,-112.205,0.0,top
R5,10K,R_0402_1005Metric,159.8,-146.9,-90.0,top
R6,100K,R_0402_1005Metric,159.8,-149.75,90.0,top
R7,10K,R_0402_1005Metric,154.55,-129.6,0.0,top
R8,220Ω,R_0402_1005Metric,107.05,-113.45,90.0,top
R9,10K,R_0402_1005Metric,135.35,-109.1,-90.0,top
R10,10K,R_0402_1005Metric,134.05,-109.06,-90.0,top
R11,1K,R_0402_1005Metric,170.3375,-109.2,180.0,bottom
R12,330Ω,R_0402_1005Metric,114.15,-123.2,180.0,bottom
S1,JS202011JCQN,SW_JS202011JCQN,170.505,-104.55,0.0,bottom
SW1,SW_Push,SW_SPST_B3S-1000,133.3,-129.875,270.0,bottom
SW2,SW_Push,SW_SPST_B3S-1000,125.0,-129.875,270.0,bottom
SW3,SW_Push,SW_SPST_B3S-1000,116.85,-129.9,270.0,bottom
SW4,SW_Push,SW_SPST_B3S-1000,154.2,-158.75,270.0,bottom
SW5,SW_Push,SW_SPST_B3S-1000,143.6,-158.7,270.0,bottom
U1,74LVC2G74,TSSOP-8_3x3mm_P0.65mm,148.65,-118.95,270.0,top
U2,PCF8523T,SOIC-8_3.9x4.9mm_P1.27mm,147.79,-112.84,90.0,top
U4,XTSD,XTSD,148.35,-147.255,270.0,top
U6,AHT20,AHT20,106.95,-116.65,180.0,bottom
U7,RFM95W-868S2,HOPERF_RFM9XW_SMD,123.85,-148.2,-90.0,top
Y1,Crystal,Crystal_SMD_3215-2Pin_3.2x1.5mm,152.89,-114.04,90.0,top
